N ORDEN,N CAMARA,BARRIOS,SINIESTRO,DIRECCION SINIESTRO,FECHA,HORA,CODIGO PARTICIPANTES,CODIGOS CAUSAS,SEMAFOROS,,,,
1004,555,Vieja Terminal,1,Alvarado y Buenos Aires ,30/10/23,20:17:00,M/COL,NR,NO,,,,
1005,532,Libertad,1,Luro y Leguizamon,31/10/23,00:08:00,M/COL,VS,FALTA SUPERVISAR,,,,
1006,622,Las Americas,1,J.B. Justo y Mariano Acosta,01/11/23,08:22:00,A/M,NSD,FALTA SUPERVISAR,,,,
1007,78,El Progreso,1,Vertiz y Talcahuano,01/11/23,11:59:00,M/PATRULLA,NSD,FALTA SUPERVISAR,,,,
1008,217,Zacagnini,1,F.L. Beltran y V. Lopez y Planes,01/11/23,18:33:00,A/B,NSD,FALTA SUPERVISAR,,,,
1009,477,San Jose,1,Alvarado y Catamarca,01/11/23,19:01:00,COL/A,NSD,FALTA SUPERVISAR,,,,
1010,12,Santa Celina,1,10 De Febrero y Yahaty,01/11/23,21:27:00,A/B,NSD,FALTA SUPERVISAR,,,,
1011,153,San Juan,1,Colon y Espana,02/11/23,08:29:00,M/M,NSD,FALTA SUPERVISAR,,,,
1012,371,San Carlos,1,J.J. Paso y B. Irigoyen,02/11/23,12:56:00,A/M,G,FALTA SUPERVISAR,,,,
1013,23,Don Bosco,1,Colon y Jara,02/11/23,15:28:00,A/A,NSD,FALTA SUPERVISAR,,,,
1014,585,Centro,1,Colon y La Rioja,02/11/23,17:41:00,A/P,NSD,FALTA SUPERVISAR,,,,
1015,139,Villa Primera,1,Zabala y Berutti,02/11/23,20:30:00,M,NSD,FALTA SUPERVISAR,,,,
1016,655,Villa Lourdes,1,Cerrito y Magallanes,03/11/23,04:10:00,A/M,NSD,FALTA SUPERVISAR,,,,
1017,116,El Gaucho,1,Ruta 88 y Magallanes,03/11/23,12:17:00,A/A,NSD,FALTA SUPERVISAR,,,,
1018,340,San Cayetano,1,Colon y D. Ortega,03/11/23,13:04:00,A/M,G,FALTA SUPERVISAR,,,,
1019,202,La Perla,1,Independencia y Balcarce,03/11/23,16:35:00,A/M,NSD,FALTA SUPERVISAR,,,,
1020,477,San Jose,1,Independencia y R. Peña,03/11/23,17:43:00,A/A,D,FALTA SUPERVISAR,,,,
1021,308,Playa Grande,1,Bvd. P.P. Ramos y P. Junta,05/11/23,11:21:00,A/B,NR,SI,,,,
1022,465,Santa Rita,1,J.B. Justo y Gamusso,05/11/23,17:13:00,A/M,NSD,FALTA SUPERVISAR,,,,
1023,226,Las Dos Marias,1,Centenario y Fortunato de la Plaza,06/11/23,11:53:00,CAM/M,NSD,FALTA SUPERVISAR,,,,
1024,632,Sarmiento,1,Libertad y Malvinas,06/11/23,14:49:00,A/M,NSD,FALTA SUPERVISAR,,,,
1025,436,Centro,1,Cordoba y Diag. Alberdi,06/11/23,18:24:00,A/A,NR,SI,,,,
1026,202,La Perla,1,independencia y 11 de Septiembre,09/11/23,23:55:00,A/A,VS,FALTA SUPERVISAR,,,,
1027,586,Los Andes,1,Colon y Champagnat,10/11/23,07:37:00,A/M,NSD,FALTA SUPERVISAR,,,,
1028,304,Florentino Ameghino,1,Luro y Carrillo,10/11/23,10:11:00,CTA/A,EV,FALTA SUPERVISAR,,,,
1029,355,Villa Lourdes,1,Ayolas y Cerrito,10/11/23,14:08:00,A/P,NSD,FALTA SUPERVISAR,,,,
1030,513,Los Pinares,1,Zabala y Strobel,10/11/23,18:06:00,A/M,D,FALTA SUPERVISAR,,,,
1031,23,Don Bosco,1,Colon y Jara,10/11/23,21:05:00,M/B,NSD,FALTA SUPERVISAR,,,,
1032,292,Cerrito Sur,1,Calabria y JoseHernandez,11/11/23,10:42:00,A/M,NSD,FALTA SUPERVISAR,,,,
1033,77,Don Emilio,1,Ruta 88 y Ortiz de Zarate,11/11/23,12:29:00,A/M,NSD,FALTA SUPERVISAR,,,,
1034,308,Playa Grande,1,Bvd. Peralta Ramos y G. Volpe,12/11/23,01:09:00,A/A,NSD,FALTA SUPERVISAR,,,,
1035,332,Hipodromo,1,Colon y Tarantino,12/11/23,05:19:00,M,NSD,FALTA SUPERVISAR,,,,
1036,706,Villa Primera,1,Champagnat y 3 de Febrero,12/11/23,17:03:00,B,NSD,FALTA SUPERVISAR,,,,
1037,370,El Grosellar,1,Caraballo y Zacagnini,13/11/23,08:12:00,A/B,NSD,FALTA SUPERVISAR,,,,
1038,478,Plaza Mitre,1,Independencia y Alberti,13/11/23,14:28:00,A/M,NSD,FALTA SUPERVISAR,,,,
1039,139,Villa Primera,1,Zabala y Berutti,13/11/23,16:12:00,COL/B,D,FALTA SUPERVISAR,,,,
1040,622,Las Americas,1,Juan B. Justo y Labarden,13/11/23,15:45:00,COL/B,VS,FALTA SUPERVISAR,,,,
1041,505,Parque Luro,1,Arenal y Jose Marmol,13/11/23,16:28:00,A/M,NR,NO,,,,
1042,586,Los Andes,1,Champagnat y Alberti,14/11/23,07:43:00,A/M,NSD,FALTA SUPERVISAR,,,,
1043,586,Los Andes,1,Champagnat y Rivadavia,14/11/23,12:56:00,A/P,NSD,FALTA SUPERVISAR,,,,
1044,139,Villa Primera,1,Berutti y David Ortega,14/11/23,15:21:00,A/M,NSD,FALTA SUPERVISAR,,,,
1045,159,Coronel Dorrego,1,Calasa y Belgrano,15/11/23,08:26:00,A/M,NSD,FALTA SUPERVISAR,,,,
1046,527,Malvinas Argentinas,1,Alio y 3 de Febrero,15/11/23,13:34:00,A/M,NSD,FALTA SUPERVISAR,,,,
1047,139,Villa Primera,1,Berutti y Nasser,15/11/23,14:15:00,A/M,NSD,FALTA SUPERVISAR,,,,
1048,132,Caisamar,1,Constitucion y De la Paolera,15/11/23,14:33:00,A/M,EV,FALTA SUPERVISAR,,,,
1049,63,Cerrito Sur,1,Diagonal Gascon y Benito Linch,16/11/23,09:25:00,A/M,NSD,FALTA SUPERVISAR,,,,
1050,305,Jorge Newbery,1,Luro y C.F. Czetz,16/11/23,17:23:00,A/M,NSD,FALTA SUPERVISAR,,,,
1051,23,Don Bosco,1,Colon y 1 de Mayo,17/11/23,07:35:00,A/A,NSD,FALTA SUPERVISAR,,,,
1052,702,San Jose,1,Solis y Jacinto Peralta Ramos,17/11/23,09:12:00,A/A,NSD,FALTA SUPERVISAR,,,,
1053,684,Aeroparque,1,Ruta 2 y Rotonda del Aeropuerto,17/11/23,09:15:00,M,PC,FALTA SUPERVISAR,,,,
1054,67,San Jose,1,Independencia y Formosa,18/11/23,12:06:00,A/M,NSD,FALTA SUPERVISAR,,,,
1055,523,Centro,1,Colon y Cordoba,19/11/23,05:55:00,A/M,VS,FALTA SUPERVISAR,,,,
1056,279,Termas Huinco,1,Edison y Puan,19/11/23,10:49:00,A/A,NSD,FALTA SUPERVISAR,,,,
1057,356,Villa Lourdes,1,Rondeau y Ayolas,19/11/23,16:58:00,?,NSD,FALTA SUPERVISAR,,,,
1058,304,Florentino Ameghino,1,9 de Julio y Carrillo,20/11/23,11:33:00,?,NSD,FALTA SUPERVISAR,,,,
1059,57,Centro,1,Luro y La Rioja,20/11/23,18:12:00,COL/P,NSD,FALTA SUPERVISAR,,,,
1060,513,Los Pinares,1,Zabala y Strobel ,20/11/23,18:29:00,CTA/M,VS,FALTA SUPERVISAR,,,,
1061,102,Villa Primera,1,Libertad y Olazabal,22/11/23,08:59:00,A/M,NSD,FALTA SUPERVISAR,,,,
1062,123,Belisario Roldan,1,Juan B. Justo y Alio ,22/11/23,19:55:00,CTA/M,G,FALTA SUPERVISAR,,,,
1063,813,La Perla,1,Chacabuco y Jujuy,23/11/23,09:55:00,CTA/B,NR,NO,,,,
1064,586,Los Andes,1,Champagnat y Alberti,23/11/23,14:21:00,M,NSD,FALTA SUPERVISAR,,,,
1065,204,Lomas de Stella Maris,1,Falucho yGuemes,24/11/23,08:04:00,A/M,NSD,FALTA SUPERVISAR,,,,
1066,448,Bernardino Rivadavia,1,Jara y Garay,24/11/23,14:22:00,A/M,NSD,FALTA SUPERVISAR,,,,
1067,513,Los Pinares,1,Zabala y Strobel,24/11/23,16:44:00,A/A,D,FALTA SUPERVISAR,,,,
1068,390,El Progreso,1,J. P. Ramos y San Salvador,24/11/23,20:46:00,A/M,NR,NO,,,,
1069,47,Las Americas,1,Fernandez y Juan B. Justo,25/11/23,00:39:00,A/M,NSD,FALTA SUPERVISAR,,,,
1070,404,General Pueyrredon,1,Polonia y Genova,25/11/23,15:27:00,M,PC,FALTA SUPERVISAR,,,,
1071,2,Las Avenidas,1,Talcahuano y Magallanes,25/11/23,20:16:00,CTA/A,EV,FALTA SUPERVISAR,,,,
1072,116,El Gaucho,1,Ruta 88 y Magallanes,26/11/23,06:10:00,M,NSD,FALTA SUPERVISAR,,,,
1073,108,Macrocentro,1,Bvd. P.P. Ramos y Las Heras,26/11/23,18:10:00,?,NSD,FALTA SUPERVISAR,,,,
1074,438,Centro,1,Corrientes y Diag. Alberdi,26/11/23,20:49:00,A/M,EV,FALTA SUPERVISAR,,,,
1075,809,Los Andes,1,Luro y Chile,26/11/23,22:57:00,M/P,NSD,FALTA SUPERVISAR,,,,
1076,413,Coronel Dorrego,1,Colon y Arrue,27/11/23,11:28:00,A/P,NSD,FALTA SUPERVISAR,,,,
1077,310,Libertad,1,Berutti y Colombia,27/11/23,12:21:00,COL/A,NSD,FALTA SUPERVISAR,,,,
1078,447,Bernardino Rivadavia,1,Jara y Quintana,27/11/23,16:27:00,M/P,NR,NO,,,,
1079,28,Caisamar,1,Carballo y Cataluna,28/11/23,08:05:00,CTA/M,G,FALTA SUPERVISAR,,,,
1080,214,Villa Lourdes,1,J.B. Justo y Carlos Pellegrini,28/11/23,17:00:00,CTA/M,NR,NO,,,,
1081,314,Libertad,1,Libertad y Tandil,28/11/23,17:05:00,A/M,NR,NO,,,,
1082,134,Caisamar,1,Constitucion y Calazans,28/11/23,20:38:00,A/A,NSD,FALTA SUPERVISAR,,,,
1083,22,Coronel Dorrego,1,Colon y Albarracin,29/11/23,10:44:00,A/M,NSD,FALTA SUPERVISAR,,,,
1084,392,Las Canteras,1,Antartida Argentina y Baigorria,30/11/23,12:26:00,A/M,NSD,FALTA SUPERVISAR,,,,
1085,125,Nueve de Julio,1,Libertad y Champagnat,30/11/23,18:32:00,CTA/B,NSD,FALTA SUPERVISAR,,,,
1086,271,Punta Mogotes,1,Mario Bravo y Vergara,30/11/23,19:38:00,CTA/B,D,FALTA SUPERVISAR,,,,
1087,293,El Progreso,1,Fortunato de la Plaza y Echeverria,30/11/23,20:25:00,A/M,D,FALTA SUPERVISAR,,,,
1088,543,Centro,1,La Rioja y Rivadavia,01/12/23,18:32:00,M/P,NR,SI,,,,
1089,61,Puerto,1,12 de Octubre y De los TrabajaDores,02/12/23,06:25:00,A/M,NSD,FALTA SUPERVISAR,,,,
1090,327,Nueve de Julio,1,A. Alio y 9 de Julio,02/12/23,09:27:00,A/M,NSD,FALTA SUPERVISAR,,,,
1091,130,Los Pinares,1,Champagnat y Belgica,02/12/23,16:48:00,A/A,NSD,FALTA SUPERVISAR,,,,
1092,513,Los Pinares,1,Zabala y Strobel,03/12/23,04:02:00,A/A,G,FALTA SUPERVISAR,,,,
1093,203,Macrocentro,1,Colon y Sarmiento,04/12/23,02:19:00,M/COL,VS,FALTA SUPERVISAR,,,,
1094,227,General Belgrano,1,C. Gardel y Vertiz,04/12/23,10:02:00,CAM/M,NSD,FALTA SUPERVISAR,,,,
1095,145,Santa Monica,1,J.B. Justo y Marconi,04/12/23,11:40:00,A/A,NSD,FALTA SUPERVISAR,,,,
1096,702,San Jose,1,J. P. Ramos y J.B. Justo,04/12/23,13:00:00,A/P,PI,FALTA SUPERVISAR,,,,
1097,139,Villa Primera,1,Zabala y Berutti,04/12/23,17:41:00,A/B,NSD,FALTA SUPERVISAR,,,,
1098,405,Bosque Grande,1,Polonia y Hernandarias,04/12/23,21:27:00,?,NSD,FALTA SUPERVISAR,,,,
1099,532,Libertad,1,Leguizamon y Rivadavia,04/12/23,21:46:00,?,NSD,FALTA SUPERVISAR,,,,
1100,285,Termas Huinco,1,Edison y Rosales,04/12/23,22:18:00,A/M,G,FALTA SUPERVISAR,,,,
1101,78,El Progreso,1,Vertiz y Talcahuano,05/12/23,09:42:00,A/M,G,FALTA SUPERVISAR,,,,
1102,688,Bernardino Rivadavia,1,Champagnat y Gral Roca,05/12/23,12:58:00,A/A,NSD,FALTA SUPERVISAR,,,,
1103,23,Don Bosco,1,Jara y Falucho,05/12/23,15:08:00,A/P,NSD,FALTA SUPERVISAR,,,,
1104,462,Fortunato de la Plaza,1,Fortunato de la Plaza y C. Villar,05/12/23,22:02:00,A/M,NSD,FALTA SUPERVISAR,,,,
1105,398,Bernardino Rivadavia,1,General Roca y Chile,06/12/23,08:30:00,A/M,P,FALTA SUPERVISAR,,,,
1106,700,San Juan,1,Independencia y Colon,07/12/23,16:48:00,A/M,EV,FALTA SUPERVISAR,,,,
1107,21,San Juan,1,Colon y Guido,07/12/23,21:39:00,A/A,NSD,FALTA SUPERVISAR,,,,
1108,546,Lomas de Stella Maris,1,Guemes y Garay,08/12/23,01:19:00,?,NSD,FALTA SUPERVISAR,,,,
1109,308,Playa Grande,1,Bvd. P.P. Ramos y Gral Roca,08/12/23,11:41:00,A,PC,FALTA SUPERVISAR,,,,
1110,23,Don Bosco,1,Colon y 1 de Mayo,08/12/23,12:00:00,?,NSD,FALTA SUPERVISAR,,,,
1111,366,Las Avenidas,1,Juan B. Justo y Flemming,08/12/23,13:11:00,COL/B,MR,FALTA SUPERVISAR,,,,
1112,125,Nueve de Julio,1,Champagnat y Libertad,08/12/23,13:02:00,A/M,NSD,FALTA SUPERVISAR,,,,
1113,446,Bernardino Rivadavia,1,Italia y Saavedra,09/12/23,16:42:00,A/A,NR,NO,,,,
1114,328,Jorge Newbery,1,Luro y Venezuela,09/12/23,18:17:00,A/M,NR,NO,,,,
1115,544,Centro,1,La Rioja y Belgrano,10/12/23,19:59:00,POLICIA/M,VS,FALTA SUPERVISAR,,,,
1116,328,Jorge Newbery,1,Luro y Venezuela,11/12/23,06:22:00,A/CAM/M,A,FALTA SUPERVISAR,,,,
1117,485,Los Andes,1,Colon y Peru,11/12/23,07:12:00,A/M,NSD,FALTA SUPERVISAR,,,,
1118,327,Nueve de Julio,1,Alio y P. Bouchez,11/12/23,13:50:00,A/P,NSD,FALTA SUPERVISAR,,,,
1119,23,Don Bosco,1,Colon y Francia,11/12/23,16:50:00,A/A,NR,NO,,,,
1120,390,El Progreso,1,J. P. Ramos y Bouchard,11/12/23,18:44:00,A/M,G,FALTA SUPERVISAR,,,,
1121,226,Las Dos Marias,1,Ruta 88 y Ayolas,12/12/23,05:54:00,A/M,NSD,FALTA SUPERVISAR,,,,
1122,292,Cerrito Sur,1,Cerrito y Sicilia,12/12/23,11:08:00,COL/A,NR,NO,,,,
1123,501,Alto Camet,1,Beltran y Urquia Serapio,12/12/23,20:24:00,A/M,NSD,FALTA SUPERVISAR,,,,
1124,130,Los Pinares,1,Ingenieros y De la Paolera,13/12/23,08:01:00,B,PC,FALTA SUPERVISAR,,,,
1125,231,Belisario Roldan,1,A. Alio y Garay,13/12/23,09:09:00,A/M,NSD,FALTA SUPERVISAR,,,,
1126,479,San Jose,1,Independencia y Matheu,13/12/23,11:56:00,M/P,PI,FALTA SUPERVISAR,,,,
1127,401,Bosque Grande,1,Fortunato de la Plaza y Heguilor,13/12/23,15:12:00,A/M,NSD,FALTA SUPERVISAR,,,,
1128,68,San Jose,1,Dorrego y J.J. Paso,13/12/23,18:22:00,A/M,NSD,FALTA SUPERVISAR,,,,
1129,76,Cerrito San Salvador,1,Vertiz y Cerrito,14/12/23,07:47:00,A/B,D,FALTA SUPERVISAR,,,,
1130,456,Vieja Terminal,1,Sarmiento y Rawson,14/12/23,11:12:00,A/A,NR,NO,,,,
1131,586,Los Andes,1,Champagnat y Belgrano,14/12/23,16:03:00,A/M,G,FALTA SUPERVISAR,,,,
1132,291,Cerrito Sur,1,Fortunato de la Plaza y Gianelli,14/12/23,16:23:00,A/M,NR,SI,,,,
1133,254,Caisamar,1,Constitucion y Unamuno,14/12/23,19:43:00,COL/B,NSD,FALTA SUPERVISAR,,,,
1134,213,Villa Evita,1,J. Ingeniero y Fortunato de la Plaza,14/12/23,20:00:00,A/B,NSD,FALTA SUPERVISAR,,,,
1135,586,Los Andes,1,Alberti y Champagnat,14/12/23,23:48:00,M,NSD,FALTA SUPERVISAR,,,,
1136,381,Lomas de Stella Maris,1,Bvd.P.Ramos y A. del Valle,15/12/23,01:17:00,A/A,EV,FALTA SUPERVISAR,,,,
1137,114,Bernardino Rivadavia,1,R. Peña y T. Bronzini,15/12/23,11:08:00,M/P,PI,FALTA SUPERVISAR,,,,
1138,159,Coronel Dorrego,1,Luro y Coronel Suarez,15/12/23,14:56:00,A/M,NR,NO,,,,
1139,386,General Pueyrredon,1,Calabria y de los Inmigrantes,15/12/23,17:10:00,M/P,NSD,FALTA SUPERVISAR,,,,
1140,479,San Jose,1,Matheu y La Rioja,15/12/23,18:08:00,A/M,NSD,FALTA SUPERVISAR,,,,
1141,29,Parque Luro,1,Constitucion y F.U. Camet,16/12/23,07:56:00,M,PC,FALTA SUPERVISAR,,,,
1142,440,Lomas de Stella Maris,1,Bvd. Peralta Ramos y Ate Brown,16/12/23,13:28:00,A/P,EV,FALTA SUPERVISAR,,,,
1143,404,General Pueyrredon,1,Polonia y Calabria,17/12/23,20:41:00,?,NSD,FALTA SUPERVISAR,,,,
1144,341,Nueve de Julio,1,Libertad y Nasser,18/12/23,11:42:00,B,NSD,FALTA SUPERVISAR,,,,
1145,585,Centro,1,Colon y La Rioja,18/12/23,13:30:00,A/P,NSD,FALTA SUPERVISAR,,,,
1146,43,San Carlos,1,J.B. Justo y Alvear,19/12/23,10:18:00,A/M,NSD,FALTA SUPERVISAR,,,,
1147,447,Bernardino Rivadavia,1,Jara y Almafuerte,20/12/23,12:37:00,M/P,NR,NO,,,,
1148,526,San Cayetano,1,David Ortega y Bolivar,20/12/23,15:10:00,A/M,NR,NO,,,,
1149,586,Los Andes,1,Champagnat y Gascon,21/12/23,09:17:00,M,NSD,FALTA SUPERVISAR,,,,
1150,586,Los Andes,1,Champagnat y Belgrano,21/12/23,09:28:00,A/M,MR,FALTA SUPERVISAR,,,,f
1151,340,San Cayetano,1,Colon y David Ortega,21/12/23,10:39:00,A/M,EV,FALTA SUPERVISAR,,,,
1152,125,Nueve de Julio,1,Libertad y V. Montes,22/12/23,07:51:00,A/P,NR,NO,,,,
1153,341,Nueve de Julio,1,Libertad y R. de Escalada,22/12/23,08:24:00,A/M,NSD,FALTA SUPERVISAR,,,,
1154,695,Virgen de Lujan,1,Constitucion y Schweitzer,23/12/23,07:46:00,A/M,NSD,FALTA SUPERVISAR,,,,
1155,413,Coronel Dorrego,1,Colon y Armenia,23/12/23,18:55:00,CTA/P,PI,FALTA SUPERVISAR,,,,
1156,63,Cerrito Sur,1,M. Bravo y M.T. de Alvear,23/12/23,21:34:00,A/A,NSD,FALTA SUPERVISAR,,,,
1157,401,Bosque Grande,1,Fortunato de la Plaza y R. Inda,24/12/23,19:43:00,A/M,NSD,FALTA SUPERVISAR,,,,
1158,440,Lomas de Stella Maris,1,Colon y Bvd. P.P. Ramos,25/12/23,17:21:00,A/P,NSD,FALTA SUPERVISAR,,,,
1159,279,Termas Huinco,1,Edison y Arana Goiri,25/12/23,21:27:00,?,NSD,FALTA SUPERVISAR,,,,
1160,22,Coronel Dorrego,1,Colon y Alio,26/12/23,05:35:00,A/M,NSD,FALTA SUPERVISAR,,,,
1161,88,San Jose,1,Dorrego y R. Peña,26/12/23,08:15:00,A/A,NSD,FALTA SUPERVISAR,,,,
1162,251,Constitucion,1,F.U. Camet y Daprotis,26/12/23,06:44:00,COL/A,NSD,FALTA SUPERVISAR,,,,
1163,352,Las Avenidas,1,Matteotti y Magallanes,26/12/23,19:04:00,A/B,NSD,FALTA SUPERVISAR,,,,
1164,279,Termas Huinco,1,T. Edison y Carasa,26/12/23,19:31:00,A/M,NR,NO,,,,
1165,54,Coronel Dorrego,1,Luro y Rauch,27/12/23,05:14:00,A/M,NSD,FALTA SUPERVISAR,,,,
1166,23,Don Bosco,1,Colon y Don Bosco,27/12/23,09:37:00,A/A,NSD,FALTA SUPERVISAR,,,,
1167,323,Parque Palermo,1,Tetamanti y Gutemberg,27/12/23,11:35:00,A/M,NR,NO,,,,
1168,270,Bosque Peralta Ramos,1,Acevedo y Mario Bravo,27/12/23,14:32:00,A/M,MR,FALTA SUPERVISAR,,,,
1169,501,Alto Camet,1,Beltran y Pujia,27/12/23,22:49:00,A/M,NSD,FALTA SUPERVISAR,,,,
1170,125,Nueve de Julio,1,Champagnat y Ayacucho,28/12/23,07:47:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
1171,438,Centro,1,Diagonal Alberdi y Santa Fe,28/12/23,21:42:00,M,NSD,FALTA SUPERVISAR,,,,
1172,448,Bernardino Rivadavia,1,Jara y Alberti,29/12/23,14:51:00,A/M,NSD,FALTA SUPERVISAR,,,,
1173,299,Florencio Sanchez,1,Genova y Talcahuano,29/12/23,17:08:00,A/M,NSD,FALTA SUPERVISAR,,,,
1174,45,Peralta Ramos Oeste,1,J.B. Justo y Guido,30/12/23,09:16:00,A/A,NSD,FALTA SUPERVISAR,,,,
1175,56,Centro,1,Luro y Catamarca,30/12/23,12:32:00,A/P,NR,SI,,,,
1176,527,Malvinas Argentinas,1,A. Alio y 11 de Septiembre,02/01/24,13:09:00,A/B,G,FALTA SUPERVISAR,,,,
1177,30,Parque Luro,1,Constitucion y Vicente Lopez,03/01/24,10:00:00,A/B,NSD,FALTA SUPERVISAR,,,,
1178,483,Don Bosco,1,Colon y La Pampa,03/01/24,10:40:00,A/P,NSD,FALTA SUPERVISAR,,,,
1179,700,San Juan,1,Independencia y Bolivar,03/01/24,13:48:00,COL,NSD,FALTA SUPERVISAR,,,,
1180,30,Parque Luro,1,Constitucion y Tejedor,03/01/24,14:16:00,A/B,D,FALTA SUPERVISAR,,,,
1181,145,Santa Monica,1,Juan B. Justo y Francia,03/01/24,14:28:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1182,116,El Gaucho,1,12 de Octubre y Ruta 88,03/01/24,16:37:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1183,273,Punta Mogotes,1,Mario Bravo y Andrea,04/01/24,08:31:00,A/M,EV,FALTA SUPERVISAR,,,,
1184,479,San Jose,1,Independencia y Quintana,04/01/24,10:21:00,M/P,PI,FALTA SUPERVISAR,,,,
1185,340,San Cayetano,1,Colon y Nasser,04/01/24,11:22:00,A/M,NR,NO,,,,
1186,210,El Progreso,1,Fortunato de la Plaza y FlorencioSanchez,04/01/24,17:01:00,M/M,NR,NO,,,,
1187,75,Villa Lourdes,1,Vertiz y Acha,04/01/24,17:22:00,A/M,NSD,FALTA SUPERVISAR,,,,
1188,280,Colinas Peralta Ramos,1,F. Alcorta y Arana Goiri,04/01/24,19:29:00,M/M,NR,NO,,,,
1189,570,Vieja Terminal,1,Arenales y Alberti,05/01/24,16:04:00,COL/A,NR,NO,,,,
1190,398,Bernardino Rivadavia,1,Mexico y R. Peña,05/01/24,15:31:00,M,NSD,FALTA SUPERVISAR,,,,
1191,226,Las Dos Marias,1,Ruta 88 y Alfredo Lepera,05/01/24,17:08:00,CAM/A,NSD,FALTA SUPERVISAR,,,,
1192,43,San Carlos,1,Juan B. Justo y Juramento,05/01/24,18:20:00,A/M,NSD,FALTA SUPERVISAR,,,,
1193,328,Jorge Newbery,1,Luro y Venezuela,05/01/24,18:47:00,A/M,NR,NO,,,,
1194,397,Bernardino Rivadavia,1,Alvarado y Tierra del Fuego,06/01/24,14:00:00,A/M,NSD,FALTA SUPERVISAR,,,,
1195,251,Constitucion,1,F.U. Camet y Estrada,06/01/24,16:40:00,?,NSD,FALTA SUPERVISAR,,,,
1196,57,Centro,1,San Martin y Entre Rios,07/01/24,03:57:00,M,NSD,FALTA SUPERVISAR,,,,
1197,413,Coronel Dorrego,1,Colon y Armenia,07/01/24,13:49:00,A/M,NSD,FALTA SUPERVISAR,,,,
1198,16,Belisario Roldan,1,Colon y Termas de Rio Hondo,07/01/24,15:13:00,A/M,IC,FALTA SUPERVISAR,,,,
1199,33,Villa Lourdes,1,T. Edison y Ayolas,07/01/24,18:53:00,A/A,NR,NO,,,,
1200,54,Coronel Dorrego,1,Luro yArrue,07/01/24,19:22:00,M/P,NSD,FALTA SUPERVISAR,,,,
1201,116,El Gaucho,1,J.B Justo y Champagnat,07/01/24,19:39:00,?,NSD,FALTA SUPERVISAR,,,,
1202,285,Termas Huinco,1,T. Edison y Rosales,08/01/24,11:59:00,A/M,NSD,FALTA SUPERVISAR,,,,
1203,125,Nueve de Julio,1,Champagnat y Balcarce,08/01/24,16:03:00,A/M,NSD,FALTA SUPERVISAR,,,,
1204,448,Bernardino Rivadavia,1,Jara y Alberti,08/01/24,19:53:00,A/P,D,FALTA SUPERVISAR,,,,
1205,284,Colinas Peralta Ramos,1,T. Edison y Guiraldes,09/01/24,12:44:00,A/M,NSD,FALTA SUPERVISAR,,,,
1206,111,Centro,1,Rivadavia y Santa Fe,09/01/24,17:16:00,M/P,VS,FALTA SUPERVISAR,,,,
1207,33,Villa Lourdes,1,Edison y Ayolas,09/01/24,18:45:00,A/A,NSD,FALTA SUPERVISAR,,,,
1208,327,Nueve de Julio,1,Alio y Libertad,10/01/24,10:54:00,CAM/P,D,FALTA SUPERVISAR,,,,
1209,640,Los Acantilados,1,J. Newbery y Calle 493,10/01/24,13:19:00,A/A,EV,FALTA SUPERVISAR,,,,
1210,523,Centro,1,Colon y Santiago del Estero,10/01/24,13:39:00,A/M,NSD,FALTA SUPERVISAR,,,,
1211,501,Alto Camet,1,Beltran y Urquia Serapio,10/01/24,15:04:00,A/M,G,FALTA SUPERVISAR,,,,
1212,12,Santa Celina,1,Mario Bravo y Dellepiane,10/01/24,18:43:00,M/M,NSD,FALTA SUPERVISAR,,,,
1213,585,Centro,1,Colon y H. Yrigoyen,10/01/24,19:22:00,A,NSD,FALTA SUPERVISAR,,,,
1214,477,San Jose,1,Independencia y Alvarado,11/01/24,08:04:00,A/P,D,FALTA SUPERVISAR,,,,
1215,586,Los Andes,1,Colon y Champagnat,11/01/24,09:21:00,A/M,NSD,FALTA SUPERVISAR,,,,
1216,482,Don Bosco,1,Belgrano y 14 de Julio,11/01/24,10:10:00,A/A,NSD,FALTA SUPERVISAR,,,,
1217,596,Centro,1,Luro e Independencia,11/01/24,14:36:00,A/P,NR,SI,,,,
1218,276,Punta Mogotes,1,Fortunato de la Plaza y Mosconi,11/01/24,14:34:00,A/M,NSD,FALTA SUPERVISAR,,,,
1219,125,Nueve de Julio,1,Champagnat y Chacabuco,11/01/24,16:19:00,M/M,NSD,FALTA SUPERVISAR,,,,
1220,88,San Jose,1,Dorrego y R.Peña,12/01/24,06:50:00,A/A,NSD,FALTA SUPERVISAR,,,,
1221,571,Vieja Terminal,1,Buenos Aires y Alberti,12/01/24,10:56:00,A/A,NR,NO,,,,
1222,537,Villa Primera,1,Libertad y Chile,12/01/24,15:11:00,A/M,NSD,FALTA SUPERVISAR,,,,
1223,291,Cerrito Sur,1,Fortunato de la Plaza y Flemming,12/01/24,23:42:00,M/M,NSD,FALTA SUPERVISAR,,,,
1224,587,Parque Luro,1,F.U. Camet y F. Acosta,13/01/24,08:22:00,A/M,VS,FALTA SUPERVISAR,,,,
1225,262,Parque Luro,1,Bvd. P.Ramos y Berutti,14/01/24,01:58:00,M/M,NSD,FALTA SUPERVISAR,,,,
