Real,Evento,año,mes,Tipo de Evento,Origen,N.º Cámara,Cámaras,Direccion 0,Direccion,Resultado,CIUDAD,PROVINCIA,PAIS,ENLACE,Longitud y Latitud,,,
22078,1,2023,8,Robo/Hurto Automotor,CATE 911,262,CON,Patricio Peralta Ramos,Santa Cruz,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Santa Cruz , Buenos Aires , Argentina,-37.981392, -57.5443845
22329,1,2023,8,Robo/Hurto Automotor,CATE 911,202,CON,Independencia,Tres de 02,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Independencia y Tres de 02 , Buenos Aires , Argentina,-37.993096, -57.5503209
22468,1,2023,8,Robo/Hurto Automotor,CATE 911,56,CON,Pedro Luro,Catamarca,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Catamarca , Buenos Aires , Argentina,-37.996078, -57.5512087
22504,1,2023,8,Robo/Hurto Automotor,CATE 911,436,CON,Cordoba,Juan B Alberdi,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Cordoba y Juan B Alberdi , Buenos Aires , Argentina,-37.998513, -57.546153
22558,1,2023,8,Robo/Hurto Automotor,CATE 911,542,CON,Rivadavia,Veinte de Setiembre,Detencion,Mar del Plata,Buenos Aires,Argentina,Rivadavia y Veinte de Setiembre , Buenos Aires , Argentina,-37.996101, -57.5556947
22575,1,2023,8,Robo/Hurto Automotor,CATE 911,405,CON,Polonia,Vertiz,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Polonia y Vertiz , Buenos Aires , Argentina,-38.015127, -57.596984
22620,1,2023,8,Robo/Hurto Automotor,CATE 911,582,CON,San Martin,San Luis,No Asiste,Mar del Plata,Buenos Aires,Argentina,San Martin y San Luis , Buenos Aires , Argentina,-37.998955, -57.5479019
22872,1,2023,8,Robo/Hurto Automotor,CATE 911,471,CON,Vignolo,Hernandarias,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Vignolo y Hernandarias , Buenos Aires , Argentina,-38.007204, -57.6040867
22917,1,2023,9,Robo/Hurto Automotor,CATE 911,51,CON,Libertad,Primero de Mayo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Libertad y Primero de Mayo , Buenos Aires , Argentina,-37.980484, -57.5685616
22926,1,2023,9,Robo/Hurto Automotor,CATE 911,387,CON,Antartida Argentina,Calabria,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,Antartida Argentina y Calabria , Buenos Aires , Argentina,-38.050205, -57.5816754
22965,1,2023,9,Robo/Hurto Automotor,CATE 911,483,CON,Italia,Falucho,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Italia y Falucho , Buenos Aires , Argentina,-37.993294, -57.5702898
22968,1,2023,9,Robo/Hurto Automotor,CATE 911,405,CON,Vertiz,Brumana,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,Vertiz y Brumana , Buenos Aires , Argentina,-38.015127, -57.596984
22974,1,2023,9,Robo/Hurto Automotor,CATE 911,512,CON,Necochea,Neuquen,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Necochea y Neuquen , Buenos Aires , Argentina,-37.979052, -57.5601646
23018,1,2023,9,Robo/Hurto Automotor,ORIGEN DIFERIDO,246,CON,Tarantino,Pedro Luro,LPR - Se realiza seguimiento del vehiculo,Mar del Plata,Buenos Aires,Argentina,Tarantino y Pedro Luro , Buenos Aires , Argentina,-37.954129, -57.6365989
23021,1,2023,9,Robo/Hurto Automotor,CATE 911,259,CON,Acha,Carasa,No Asiste,Mar del Plata,Buenos Aires,Argentina,Acha y Carasa , Buenos Aires , Argentina,-37.970982, -57.5651146
23038,1,2023,9,Robo/Hurto Automotor,CATE 911,202,CON,Tres de Febrero,Independencia,Detencion,Mar del Plata,Buenos Aires,Argentina,Tres de Febrero y Independencia , Buenos Aires , Argentina,-37.993096, -57.5503209
23192,1,2023,9,Robo/Hurto Automotor,CATE 911,540,CON,Don Bosco,Belgrano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Don Bosco y Belgrano , Buenos Aires , Argentina,-37.990344, -57.5693109
23195,1,2023,9,Robo/Hurto Automotor,CATE 911,523,CON,Avenida Colon,Santiago Del Estero,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Santiago Del Estero , Buenos Aires , Argentina,-38.003471, -57.5501622
23202,1,2023,9,Robo/Hurto Automotor,CATE 911,585,CON,Avenida Colon,Santiago Del Estero,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Santiago Del Estero , Buenos Aires , Argentina,-38.001973, -57.5531637
23271,1,2023,9,Robo/Hurto Automotor,CATE 911,54,CON,Pedro Luro,Armenia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Armenia , Buenos Aires , Argentina,-37.974118, -57.5943871
23292,1,2023,9,Robo/Hurto Automotor,CATE 911,478,CON,Independencia,Falucho,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Independencia y Falucho , Buenos Aires , Argentina,-38.003634, -57.5588173
23386,1,2023,9,Robo/Hurto Automotor,CATE 911,393,CON,Rodriguez Pena,La Pampa,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Rodriguez Pena y La Pampa , Buenos Aires , Argentina,-38.004872, -57.5740178
23423,1,2023,9,Robo/Hurto Automotor,CATE 911,10,CON,Tres Arroyos,Castelli,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Tres Arroyos y Castelli , Buenos Aires , Argentina,-37.989530, -57.5955129
23619,1,2023,9,Robo/Hurto Automotor,CATE 911,77,CON,Vertiz,Ruta 88,Asiste Unidad Sanitaria y Traslada,Mar del Plata,Buenos Aires,Argentina,Vertiz y Ruta 88 , Buenos Aires , Argentina,-38.006507, -57.6084355
23638,1,2023,9,Robo/Hurto Automotor,CATE 911,436,CON,Santiago Del Estero,Pedro Luro,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,Santiago Del Estero y Pedro Luro , Buenos Aires , Argentina,-37.998513, -57.546153
23705,1,2023,9,Robo/Hurto Automotor,CATE 911,387,CON,Benito Lynch,Gianelli,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Benito Lynch y Gianelli , Buenos Aires , Argentina,-38.050205, -57.5816754
23756,1,2023,9,Robo/Hurto Automotor,CATE 911,365,CON,Juan B Justo,Corrientes,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Corrientes , Buenos Aires , Argentina,-38.025547, -57.562426
23802,1,2023,9,Robo/Hurto Automotor,CATE 911,293,CON,De La Plaza,Agote,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Agote , Buenos Aires , Argentina,-38.040599, -57.5771098
23926,1,2023,9,Robo/Hurto Automotor,CATE 911,523,CON,Avenida Colon,Santiago Del Estero,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Santiago Del Estero , Buenos Aires , Argentina,-38.003471, -57.5501622
23933,1,2023,9,Robo/Hurto Automotor,CATE 911,54,CON,Pedro Luro,Armenia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Armenia , Buenos Aires , Argentina,-37.974118, -57.5943871
23988,1,2023,9,Robo/Hurto Automotor,CATE 911,546,CON,Guemes,Gascon,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Guemes y Gascon , Buenos Aires , Argentina,-38.013260, -57.5397985
23995,1,2023,9,Robo/Hurto Automotor,CATE 911,21,CON,San Juan,Avenida Colon,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Juan y Colon , Buenos Aires , Argentina,-37.995328, -57.5663126
24010,1,2023,9,Robo/Hurto Automotor,CATE 911,542,CON,Belgrano,Jujuy,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Belgrano y Jujuy , Buenos Aires , Argentina,-37.996101, -57.5556947
24110,1,2023,9,Robo/Hurto Automotor,CATE 911,296,CON,Jacinto Peralta Ramos,Napoles,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jacinto Peralta Ramos y Napoles , Buenos Aires , Argentina,-38.035406, -57.5910995
24209,1,2023,9,Robo/Hurto Automotor,ORIGEN DIFERIDO,5002,SIN,Los Duraznos,Anchorena,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Los Duraznos y Anchorena , Buenos Aires , Argentina,-37.93989, -57.55714
24239,1,2023,9,Robo/Hurto Automotor,CATE 911,59,CON,Salta,Belgrano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Salta y Belgrano , Buenos Aires , Argentina,-37.994994, -57.5533841
24288,1,2023,9,Robo/Hurto Automotor,CATE 911,344,CON,Estado De Israel,Venticinco de 05,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Estado De Israel y Venticinco de 05 , Buenos Aires , Argentina,-37.976319, -57.590468
24378,1,2023,9,Robo/Hurto Automotor,CATE 911,80,CON,Belgrano,Buenos Aires,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Belgrano y Buenos Aires , Buenos Aires , Argentina,-38.003574, -57.5431804
24435,1,2023,9,Robo/Hurto Automotor,CATE 911,413,CON,Avenida Colon,Tres Arroyos,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Colon y Tres Arroyos , Buenos Aires , Argentina,-37.978019, -57.6005163
24480,1,2023,9,Robo/Hurto Automotor,CATE 911,118,CON,San Lorenzo,Suarez,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Lorenzo y Suarez , Buenos Aires , Argentina,-37.985725, -57.6095352
24483,1,2023,9,Robo/Hurto Automotor,CATE 911,531,CON,Pedro Luro,Rosario,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Rosario , Buenos Aires , Argentina,-37.960294, -57.6215874
24489,1,2023,9,Robo/Hurto Automotor,CATE 911,386,CON,Calabria,De Los Inmigrantes,Detencion,Mar del Plata,Buenos Aires,Argentina,Calabria y De Los Inmigrantes , Buenos Aires , Argentina,-38.028269, -57.6038892
24512,1,2023,9,Robo/Hurto Automotor,CATE 911,408,CON,San Luis,Almafuerte,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Luis y Almafuerte , Buenos Aires , Argentina,-38.015697, -57.5614269
24536,1,2023,9,Robo/Hurto Automotor,CATE 911,5003,SIN,Fermin Errea,Bolivar,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Fermin Errea y Bolivar , Buenos Aires , Argentina,-37.96601, -57.62177
24636,1,2023,9,Robo/Hurto Automotor,ORIGEN DIFERIDO,5004,SIN,Avenida Colon,Independencia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Independencia , Buenos Aires , Argentina,-38.00039, -57.55621
24715,1,2023,9,Robo/Hurto Automotor,CATE 911,483,CON,Avenida Colon,Italia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Italia , Buenos Aires , Argentina,-37.993294, -57.5702898
24727,1,2023,9,Robo/Hurto Automotor,CATE 911,341,CON,Libertad,Bolivia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Libertad y Bolivia , Buenos Aires , Argentina,-37.971416, -57.5865058
24755,1,2023,9,Robo/Hurto Automotor,CATE 911,12,CON,Mario Bravo,Benito Lynch,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Mario Bravo y Benito Lynch , Buenos Aires , Argentina,-38.044272, -57.5928084
24794,1,2023,9,Robo/Hurto Automotor,CATE 911,50,CON,Pedro Luro,Olazabal,Detencion,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Olazabal , Buenos Aires , Argentina,-37.990442, -57.5623817
24918,1,2023,9,Robo/Hurto Automotor,CATE 911,95,CON,Almafuerte,Misiones,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Almafuerte y Misiones , Buenos Aires , Argentina,-38.006021, -57.5805489
24934,1,2023,9,Robo/Hurto Automotor,ORIGEN DIFERIDO,562,CON,Alvarado,Francia,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Alvarado y Francia , Buenos Aires , Argentina,-37.997633, -57.5795038
24964,1,2023,9,Robo/Hurto Automotor,CATE 911,484,CON,Nueve de Julio,Peru,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,Nueve de Julio y Peru , Buenos Aires , Argentina,-37.981638, -57.5751349
25010,1,2023,9,Robo/Hurto Automotor,CATE 911,329,CON,Pedro Luro,Portugal,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Portugal , Buenos Aires , Argentina,-37.9641, -57.61455
25061,1,2023,9,Robo/Hurto Automotor,CATE 911,102,CON,San Juan,Balcarce,Detencion,Mar del Plata,Buenos Aires,Argentina,San Juan y Balcarce , Buenos Aires , Argentina,-37.985570, -57.558436
25127,1,2023,9,Robo/Hurto Automotor,CATE 911,817,CON,España,French,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Espana y French , Buenos Aires , Argentina,-37.986364, -57.5477995
25140,1,2023,9,Robo/Hurto Automotor,CATE 911,345,CON,Della Paolera,Mariani,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Della Paolera y Mariani , Buenos Aires , Argentina,-37.950177, -57.5749993
25208,1,2023,9,Robo/Hurto Automotor,CATE 911,79,CON,De La Plaza,Manso,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Manso , Buenos Aires , Argentina,-38.032577, -57.5876566
25214,1,2023,9,Robo/Hurto Automotor,CATE 911,132,CON,Della Paolera,Constitucion,Asiste Unidad Sanitaria y No Traslada,Mar del Plata,Buenos Aires,Argentina,Della Paolera y Constitucion , Buenos Aires , Argentina,-37.953402, -57.577638
25271,1,2023,9,Robo/Hurto Automotor,CATE 911,622,CON,Juan B Justo,Tres Arroyos,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Tres Arroyos , Buenos Aires , Argentina,-37.996401, -57.6010993
25280,1,2023,9,Robo/Hurto Automotor,CATE 911,5005,SIN,Calabria,Don Orione,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Calabria y Don Orione , Buenos Aires , Argentina,-38.05266, -57.57156
25326,1,2023,9,Robo/Hurto Automotor,CATE 911,624,CON,Luis Dellepiane,Azopardo,Persecucion Y Perdida,Mar del Plata,Buenos Aires,Argentina,Luis Dellepiane y Azopardo , Buenos Aires , Argentina,-38.029913, -57.5808377
25349,1,2023,9,Robo/Hurto Automotor,CATE 911,390,CON,Genova,Thomas A Edison,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Genova y Thomas A Edison , Buenos Aires , Argentina,-38.027150, -57.5810893
25379,1,2023,10,Robo/Hurto Automotor,CATE 911,436,CON,Cordoba,Venticinco de 05,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Cordoba y Venticinco de 05 , Buenos Aires , Argentina,-37.998513, -57.546153
25387,1,2023,10,Robo/Hurto Automotor,CATE 911,150,CON,Alvarado,Tierra Del Fuego,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alvarado y Tierra Del Fuego , Buenos Aires , Argentina,-37.993565, -57.5875485
25401,1,2023,10,Robo/Hurto Automotor,CATE 911,50,CON,Pedro Luro,San Juan,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y San Juan , Buenos Aires , Argentina,-37.990442, -57.5623817
25409,1,2023,10,Robo/Hurto Automotor,CATE 911,392,CON,Manrique,Luis Dellepiane,Asiste Unidad Sanitaria y Traslada,Mar del Plata,Buenos Aires,Argentina,Manrique y Luis Dellepiane , Buenos Aires , Argentina,-38.044889, -57.5970282
25428,1,2023,10,Robo/Hurto Automotor,CATE 911,513,CON,Zabala,Cardiel,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Zabala y Cardiel , Buenos Aires , Argentina,-37.961815, -57.578702
25514,1,2023,10,Robo/Hurto Automotor,CATE 911,8000,SIN,Avellaneda,Marconi,Asiste Unidad Sanitaria y Traslada,Mar del Plata,Buenos Aires,Argentina,Avellaneda y Marconi , Buenos Aires , Argentina,-37.99733, -57.58228
25519,1,2023,10,Robo/Hurto Automotor,CATE 911,8001,SIN,Santa Fe,Garay,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Santa Fe y Garay , Buenos Aires , Argentina,-38.00929, -57.55202
25580,1,2023,10,Robo/Hurto Automotor,CATE 911,559,CON,Alberti,Bartolome Mitre,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Alberti y Bartolome Mitre , Buenos Aires , Argentina,-38.014970, -57.5650424
25610,1,2023,10,Robo/Hurto Automotor,CATE 911,706,CON,Pedro Luro,Juncal,Detencion,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Juncal , Buenos Aires , Argentina,-37.980427, -57.5822796
25683,1,2023,10,Robo/Hurto Automotor,CATE 911,110,CON,Avenida Colon,Bartolome Mitre,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Bartolome Mitre , Buenos Aires , Argentina,-38.003361, -57.5529726
25741,1,2023,10,Robo/Hurto Automotor,CATE 911,153,CON,Avenida Colon,Veinte de Setiembre,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Veinte de Setiembre , Buenos Aires , Argentina,-37.997898, -57.5612653
25801,1,2023,10,Robo/Hurto Automotor,CATE 911,490,CON,Teodoro Bronzini,Gascon,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Teodoro Bronzini y Gascon , Buenos Aires , Argentina,-37.990403, -57.5849884
25888,1,2023,10,Robo/Hurto Automotor,CATE 911,523,CON,Cordoba,Moreno,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Cordoba y Moreno , Buenos Aires , Argentina,-38.003471, -57.5501622
25937,1,2023,10,Robo/Hurto Automotor,CATE 911,709,CON,Matheu,Catorce de 07,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Matheu y Catorce de 07 , Buenos Aires , Argentina,-38.016492, -57.5827392
25957,1,2023,10,Robo/Hurto Automotor,CPM,102,CON,San Juan,Once de 09,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Juan y Once de 09 , Buenos Aires , Argentina,-37.985570, -57.558436
26001,1,2023,10,Robo/Hurto Automotor,CATE 911,11,CON,Pedro Luro,Guido,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Guido , Buenos Aires , Argentina,-37.992958, -57.5573939
26009,1,2023,10,Robo/Hurto Automotor,CATE 911,436,CON,Pedro Luro,Cordoba,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Cordoba , Buenos Aires , Argentina,-37.998513, -57.546153
26110,1,2023,10,Robo/Hurto Automotor,ORIGEN DIFERIDO,419,CON,Santiago Del Estero,Alberti,Detencion,Mar del Plata,Buenos Aires,Argentina,Santiago Del Estero y Alberti , Buenos Aires , Argentina,-38.007212, -57.551756
26199,1,2023,10,Robo/Hurto Automotor,CATE 911,297,CON,Benito Lynch,Talcahuano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Benito Lynch y Talcahuano , Buenos Aires , Argentina,-38.045428, -57.5897238
26229,1,2023,10,Robo/Hurto Automotor,CATE 911,457,CON,Garay,Alsina,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Garay y Alsina , Buenos Aires , Argentina,-38.012830, -57.5450599
26235,1,2023,10,Robo/Hurto Automotor,CATE 911,531,CON,Pedro Luro,Trinidad Y Tobago,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Trinidad Y Tobago , Buenos Aires , Argentina,-37.960294, -57.6215874
26267,1,2023,10,Robo/Hurto Automotor,CATE 911,56,CON,San Martin,La Rioja,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,San Martin y La Rioja , Buenos Aires , Argentina,-37.996078, -57.5512087
26316,1,2023,10,Robo/Hurto Automotor,CATE 911,324,CON,Polonia,De La Plaza,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Polonia y De La Plaza , Buenos Aires , Argentina,-38.020590, -57.6035938
26406,1,2023,10,Robo/Hurto Automotor,CATE 911,25,CON,Remedios De Escalada,Roca,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Remedios De Escalada y Roca , Buenos Aires , Argentina,-37.990158, -57.6030559
26421,1,2023,10,Robo/Hurto Automotor,CATE 911,22,CON,Arturo Alio,Alte Brown,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Arturo Alio y Alte Brown , Buenos Aires , Argentina,-37.979096, -57.5984115
26488,1,2023,10,Robo/Hurto Automotor,CATE 911,671,CON,Solis,Esteban Echeverria,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Solis y Esteban Echeverria , Buenos Aires , Argentina,-38.026928, -57.562511
26531,1,2023,10,Robo/Hurto Automotor,CATE 911,581,CON,Independencia,Belgrano,No Asiste,Mar del Plata,Buenos Aires,Argentina,Independencia y Belgrano , Buenos Aires , Argentina,-37.997962, -57.5542638
26594,1,2023,10,Robo/Hurto Automotor,CATE 911,571,CON,Alberti,Buenos Aires,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alberti y Buenos Aires , Buenos Aires , Argentina,-38.009231, -57.5477932
26657,1,2023,10,Robo/Hurto Automotor,CPM,59,CON,Salta,Venticinco de 05,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Salta y Venticinco de 05 , Buenos Aires , Argentina,-37.994994, -57.5533841
26662,1,2023,10,Robo/Hurto Automotor,CATE 911,406,CON,Ayolas,Brumana,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Ayolas y Brumana , Buenos Aires , Argentina,-38.011097, -57.592101
26769,1,2023,10,Robo/Hurto Automotor,CATE 911,297,CON,Benito Lynch,Agote,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Benito Lynch y Agote , Buenos Aires , Argentina,-38.045428, -57.5897238
26793,1,2023,10,Robo/Hurto Automotor,CATE 911,415,CON,Polonia,William Morris,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Polonia y William Morris , Buenos Aires , Argentina,-38.026082, -57.6102046
26829,1,2023,10,Robo/Hurto Automotor,ORIGEN DIFERIDO,244,CON,maria remedios del valle,Calle 24,No Asiste,Mar del Plata,Buenos Aires,Argentina,maria remedios del valle y Calle 24 , Buenos Aires , Argentina,-38.060584, -57.5712209
26882,1,2023,10,Robo/Hurto Automotor,CATE 911,456,CON,Lamadrid,Alberti,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Lamadrid y Alberti , Buenos Aires , Argentina,-38.011749, -57.5427843
26889,1,2023,10,Robo/Hurto Automotor,CATE 911,705,CON,Pedro Luro,Corrientes,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Corrientes , Buenos Aires , Argentina,-38.000949, -57.5415961
26901,1,2023,10,Robo/Hurto Automotor,CATE 911,521,CON,San Luis,Belgrano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Luis y Belgrano , Buenos Aires , Argentina,-38.000537, -57.5491844
26936,1,2023,10,Robo/Hurto Automotor,CATE 911,4,CON,Alberti,Bahia Blanca,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alberti y Bahia Blanca , Buenos Aires , Argentina,-37.986859, -57.6061343
26941,1,2023,10,Robo/Hurto Automotor,CATE 911,523,CON,Avenida Colon,San Luis,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y San Luis , Buenos Aires , Argentina,-38.003471, -57.5501622
26963,1,2023,10,Robo/Hurto Automotor,CATE 911,386,CON,Sicilia,De Los Inmigrantes,Detencion,Mar del Plata,Buenos Aires,Argentina,Sicilia y De Los Inmigrantes , Buenos Aires , Argentina,-38.028269, -57.6038892
26967,1,2023,10,Robo/Hurto Automotor,CATE 911,297,CON,Matteotti,Del Riego,No Asiste,Mar del Plata,Buenos Aires,Argentina,Matteotti y Del Riego , Buenos Aires , Argentina,-38.045428, -57.5897238
26988,1,2023,10,Robo/Hurto Automotor,CATE 911,557,CON,Saavedra,Catamarca,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Saavedra y Catamarca , Buenos Aires , Argentina,-38.012090, -57.5641472
26995,1,2023,10,Robo/Hurto Automotor,CATE 911,404,CON,Polonia,Puan,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Polonia y Puan , Buenos Aires , Argentina,-38.023376, -57.6069329
27007,1,2023,10,Robo/Hurto Automotor,CATE 911,404,CON,Polonia,Puan,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Polonia y Puan , Buenos Aires , Argentina,-38.023376, -57.6069329
27010,1,2023,10,Robo/Hurto Automotor,CATE 911,434,CON,Entre Rios,Rivadavia,Detencion,Mar del Plata,Buenos Aires,Argentina,Entre Rios y Rivadavia , Buenos Aires , Argentina,-38.001464, -57.542916
27041,1,2023,10,Robo/Hurto Automotor,CATE 911,477,CON,Independencia,Castelli,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,Independencia y Castelli , Buenos Aires , Argentina,-38.006786, -57.5613468
27095,1,2023,10,Robo/Hurto Automotor,CATE 911,308,CON,Patricio Peralta Ramos,Rodriguez Pena,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Rodriguez Pena , Buenos Aires , Argentina,-38.025490, -57.5310174
27107,1,2023,10,Robo/Hurto Automotor,CATE 911,408,CON,San Luis,Quintana,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,San Luis y Quintana , Buenos Aires , Argentina,-38.015697, -57.5614269
27160,1,2023,10,Robo/Hurto Automotor,CATE 911,118,CON,San Lorenzo,Suarez,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Lorenzo y Suarez , Buenos Aires , Argentina,-37.985725, -57.6095352
27213,1,2023,10,Robo/Hurto Automotor,CATE 911,537,CON,Libertad,Chile,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Libertad y Chile , Buenos Aires , Argentina,-37.978957, -57.5715179
27245,1,2023,10,Robo/Hurto Automotor,CATE 911,23,CON,Primero de Mayo,Moreno,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Primero de Mayo y Moreno , Buenos Aires , Argentina,-37.991243, -57.5743265
27284,1,2023,10,Robo/Hurto Automotor,CATE 911,204,CON,Avenida Colon,Guemes,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Guemes , Buenos Aires , Argentina,-38.010088, -57.5371577
27372,1,2023,10,Robo/Hurto Automotor,CATE 911,702,CON,De Las Olimpiadas,Solis,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,De Las Olimpiadas y Solis , Buenos Aires , Argentina,-38.018900, -57.5711611
27437,1,2023,10,Robo/Hurto Automotor,CATE 911,601,CON,Cordoba,Santa Fe,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Cordoba y Santa Fe , Buenos Aires , Argentina,-37.996960, -57.54489
27482,1,2023,10,Robo/Hurto Automotor,CATE 911,204,CON,Avenida Colon,Olavarria,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Olavarria , Buenos Aires , Argentina,-38.010088, -57.5371577
