nombre,lat,lng,estado,barrio
Semáforo 441,-34.958304,-58.031933,mantenimiento,Nueva República
Semáforo 442,-34.926558,-57.974779,mantenimiento,Zona Norte
Semáforo 443,-34.789856,-57.963780,activo,Zona Norte
Semáforo 444,-34.921536,-58.038360,activo,Abella
Semáforo 445,-35.023461,-58.027176,inactivo,Ángel Etcheverry
Semáforo 446,-34.799569,-57.892487,inactivo,Los Hornos
Semáforo 447,-35.012555,-57.824245,mantenimiento,Centro
Semáforo 448,-35.034696,-57.972240,activo,Ángel Etcheverry
Semáforo 449,-34.919268,-57.938501,mantenimiento,Gonnet
Semáforo 450,-34.953121,-58.006613,activo,Villa Elvira
Semáforo 451,-34.902169,-57.863886,mantenimiento,Abella
Semáforo 452,-34.900041,-57.835933,inactivo,Villa Elvira
Semáforo 453,-35.007229,-57.970194,inactivo,Tolosa
Semáforo 454,-34.843083,-57.911251,activo,Abella
Semáforo 455,-34.938973,-57.930784,mantenimiento,Villa Elvira
Semáforo 456,-35.018165,-58.079174,activo,Gonnet
Semáforo 457,-34.923366,-57.934262,activo,Centro
Semáforo 458,-34.891368,-57.965711,mantenimiento,Barrio Universitario
Semáforo 459,-34.846611,-57.826846,mantenimiento,Zona Norte
Semáforo 460,-34.972035,-57.896009,activo,Zona Norte
Semáforo 461,-34.904213,-58.012307,inactivo,Zona Sur
Semáforo 462,-34.927331,-57.959655,activo,Abella
Semáforo 463,-34.850717,-57.937775,inactivo,Los Hornos
Semáforo 464,-34.825634,-57.819623,activo,Parque Saavedra
Semáforo 465,-34.864070,-57.998595,activo,Zona Sur
Semáforo 466,-34.914808,-57.959874,inactivo,Ringuelet
Semáforo 467,-34.920360,-57.865709,inactivo,Nueva República
Semáforo 468,-35.040832,-57.998171,activo,San Carlos
Semáforo 469,-34.913970,-57.891854,activo,Este
Semáforo 470,-35.068986,-57.918261,mantenimiento,Centro
Semáforo 471,-34.827222,-58.014461,activo,Centro
Semáforo 472,-34.925725,-58.024926,mantenimiento,Zona Sur
Semáforo 473,-34.905265,-57.842190,activo,Este
Semáforo 474,-34.884482,-57.897569,mantenimiento,Nueva República
Semáforo 475,-34.946227,-58.066056,activo,Ángel Etcheverry
Semáforo 476,-34.977705,-57.853168,mantenimiento,Los Hornos
Semáforo 477,-34.789911,-57.890441,inactivo,Centro
Semáforo 478,-34.822428,-57.832431,mantenimiento,Ringuelet
Semáforo 479,-34.820622,-58.028765,mantenimiento,Gonnet
Semáforo 480,-35.019997,-58.042692,activo,Tolosa
Semáforo 481,-34.918661,-57.896158,inactivo,Zona Sur
Semáforo 482,-34.779854,-57.929488,inactivo,Villa Elvira
Semáforo 483,-35.052998,-57.839266,inactivo,Villa Elvira
Semáforo 484,-34.943657,-57.866636,inactivo,Centro
Semáforo 485,-34.878907,-58.059560,activo,Centro
Semáforo 486,-34.869946,-58.015561,inactivo,Parque Saavedra
Semáforo 487,-34.882387,-57.963677,activo,Gonnet
Semáforo 488,-35.022940,-57.859057,inactivo,Gonnet
Semáforo 489,-34.815093,-58.027542,activo,Centro
Semáforo 490,-34.981481,-57.981972,activo,Centro
Semáforo 491,-34.900507,-57.992306,mantenimiento,Zona Sur
Semáforo 492,-34.996690,-58.002607,mantenimiento,San Carlos
Semáforo 493,-34.828103,-57.960186,inactivo,Zona Sur
Semáforo 494,-34.920486,-57.915657,inactivo,Este
Semáforo 495,-34.986746,-57.987526,inactivo,Centro
Semáforo 496,-34.966706,-58.043081,activo,Parque Saavedra
Semáforo 497,-35.031609,-57.918269,activo,San Carlos
Semáforo 498,-34.830953,-57.927224,inactivo,Los Hornos
Semáforo 499,-35.011069,-57.901682,activo,Tolosa
Semáforo 500,-34.846891,-57.849029,activo,Gonnet
